mean,total,p_0,p_10,p_20,p_30,p_40,p_50,p_60,p_70,p_80,p_90,p_99,p_99.9,p_100,freq%,rate,seed,bits,unique_lba_count
3.662063558501434,3201460,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,7.0,24.0,28.0,34.0,68,0.8,42,0,1472110
2.385164486727114,3197948,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,13.0,16.0,21.0,55,0.8,42,1,895145
1.6377309200998662,3189469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,7.0,9.0,12.0,34,0.8,42,2,583200
1.2381310154249903,3129143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,8.0,15,0.8,42,3,427088
1.0945619604175116,2899464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,8,0.8,42,4,348957
1.0318492573843931,2885342,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4,0.8,42,5,309074
1.0086943552013168,2755581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,0.8,42,6,289108
1.0000118829379376,2777091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,0.8,42,7,280685
1.0,2789420,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.8,42,8,276752
1.0,2702456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.8,42,9,270465
1.0,2586682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.8,42,10,268925
1.0,2182255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.8,42,11,269844
