mean,total,p_0,p_10,p_20,p_30,p_40,p_50,p_60,p_70,p_80,p_90,p_99,p_99.9,p_100,freq%,rate,seed,bits,unique_lba_count
1.8127658111493417,3257717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,9.0,12.0,19.0,40,0.95,42,0,677355
1.3968296796159836,3257778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,8.0,12.0,25,0.95,42,1,506798
1.2090760695739506,3257886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,8.0,17,0.95,42,2,413919
1.0684690748750145,3250577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,6,0.95,42,3,367423
1.0249544698500108,3217099,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3,0.95,42,4,344216
1.009131184686665,3163883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1,0.95,42,5,332444
1.0024029272193264,3194021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,0.95,42,6,326718
1.0,3176872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.95,42,7,323834
1.0,3169848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.95,42,8,323413
1.0,3071669,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.95,42,9,319234
1.0,3058876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.95,42,10,319890
1.0,3079146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.95,42,11,320625
