,write_block_req_split,write_cache_req_split,iat_read_avg,iat_write_avg,read_size_avg,write_size_avg,mean,std,block,bits,reduce,runtime_ns
0,19.511367794132795,0.7116565829390259,13.791812019492518,10.656963985601664,33.95629972052655,9.810224049567035,14.739720692043264,10.252637697991323,38141,4,0.0013674044953422785,1001828266
1,19.494011516050385,0.7007276411789424,13.791812019492518,9.52539566105575,33.95629972052655,9.84634001430427,14.552431095434736,10.334375833103172,289596,4,0.002734808990684557,1299230851
2,19.52475298777666,0.6829453377878948,13.78808601981764,8.571851615680597,33.95393441501705,9.81760121072791,14.389861931134625,10.425262164478942,8479,4,0.0041022134860268355,1291335362
3,19.582333398585458,0.6361316773534197,14.007554805998122,7.56644496114553,33.99618245505792,9.84158556868854,14.271705477804831,10.550220300934901,2615,4,0.005469617981369114,1296765488
4,19.56395286196074,0.6254471424559634,14.006972605973866,7.015155438460792,33.99529655959173,9.877716329800597,14.180756823040616,10.608435375874375,289627,4,0.0068370224767113925,1298725257
5,19.375417777826353,0.7183596144848884,13.81228863326966,7.015155438460792,33.82242700615909,9.877710111218525,14.103559763569884,10.51964761225594,48141,4,0.008204426972053671,1300267281
6,19.215964524378805,0.7567649953443077,13.611711652524262,7.015155438460792,33.684212803154125,9.877710111218525,14.026919920846801,10.456142853301927,49234,4,0.00957183146739595,1308489468
7,19.05587931171214,0.7951996764411036,13.413954893423853,7.015155438460792,33.54529875848921,9.877710111218525,13.95053303162427,10.39276563460896,46060,4,0.010939235962738228,1285744733
8,18.895158375411704,0.8336636913186776,13.215614754729602,7.015155438460792,33.40567954324582,9.877710111218525,13.873830319064185,10.329540654578174,425812,4,0.012306640458080506,1288550395
9,18.73379792110524,0.8721570735716626,13.017351889430017,7.015155438460792,33.26534977426533,9.877710111218525,13.796920368008594,10.266468731971266,132198,4,0.013674044953422785,1299983120
10,18.571794124164196,0.9106798568459994,12.823567240454098,7.015155438460792,33.1243040134571,9.877710111218525,13.720535130766784,10.203490621333009,419238,4,0.015041449448765063,1298189466
11,18.409143129401592,0.9492320748390537,12.629668221746732,7.015155438460792,32.98253676709599,9.877710111218525,13.643907623793782,10.140661670245041,129569,4,0.016408853944107342,1301962550
12,18.24584105076623,0.9878137612997068,12.434820419008313,7.015155438460792,32.840042485109144,9.877710111218525,13.566897210977118,10.078004136247424,49245,4,0.01777625843944962,1296287228
13,18.087548610119605,1.025093038238579,12.22979107254131,7.015155438460792,32.701766677640364,9.877710111218525,13.489510824703196,10.018014716047388,133207,4,0.0191436629347919,1304834454
14,17.922955369063708,1.063732744036592,12.038683602522166,7.015155438460792,32.557826998986734,9.877710111218525,13.412677377381419,9.955634372709838,31501,4,0.020511067430134176,1296949281
15,17.762338414161242,1.1013182093696594,11.839748073125099,7.015155438460792,32.41720730004762,9.877710111218525,13.335579591063821,9.895487153211597,130224,4,0.021878471925476456,1304400642
16,17.601449833742365,1.1388482100413295,11.640141861579774,7.015155438460792,32.27619370974974,9.877710111218525,13.258249860798754,9.835717403771044,130353,4,0.023245876420818733,1299290981
17,17.440290132981154,1.1763225913496687,11.439774747794448,7.015155438460792,32.13478561971352,9.877710111218525,13.180673106919683,9.776340909093422,131638,4,0.024613280916161013,1317168242
18,17.278137741669475,1.213908308048608,11.243003502382782,7.015155438460792,31.992347780507817,9.877710111218525,13.103377147048,9.71694112006074,130517,4,0.02598068541150329,1299741328
19,17.11462219822922,1.251689194545984,11.046791253445017,7.015155438460792,31.848551028181653,9.877710111218525,13.025753204013533,9.657457412931949,130518,4,0.02734808990684557,1296013963
20,16.950458935109243,1.2894982970943356,10.853221564878226,7.015155438460792,31.704021256062177,9.877710111218525,12.948344267137216,9.598108263397684,130840,4,0.028715494402187847,1296033286
21,16.792585323373803,1.3257445700694706,10.658201503488982,7.015155438460792,31.56487420668393,9.877710111218525,12.87237852554925,9.541836414072494,49277,4,0.030082898897530127,1314818521
22,16.628609632423434,1.363273802607683,10.474667902612266,7.015155438460792,31.420188032195572,9.877710111218525,12.79660081991971,9.483139995256133,434223,4,0.03145030339287241,1296652245
23,16.47208573135168,1.3994890435517735,10.28665754535448,7.015155438460792,31.28177757989404,9.877710111218525,12.722145908305215,9.42794333997941,132769,4,0.032817707888214684,1300474414
24,16.318667865945887,1.434387445855471,10.094771483041663,7.015155438460792,31.14611136908939,9.877710111218525,12.647800618935287,9.374801801135396,49301,4,0.03418511238355696,1295545949
25,16.1646853904389,1.469309878216924,9.903575417037654,7.015155438460792,31.009800894976213,9.877710111218525,12.573372855058167,9.321908030997625,49316,4,0.03555251687889924,1296332645
26,16.01013518225848,1.5042563654643075,9.728212736221783,7.015155438460792,30.872841557332478,9.877710111218525,12.501385231826061,9.268508071353734,49294,4,0.03691992137424152,1297668968
27,15.860990885820197,1.5378814650899637,9.54293069169293,7.015155438460792,30.740533654414968,9.877710111218525,12.429200374449563,9.21823806378009,49309,4,0.0382873258695838,1308234645
28,15.823387658531725,1.5203417729872595,9.458945605644951,6.901524948086133,30.630959850455167,9.805616645197821,12.35679608015051,9.20196625394729,49201,4,0.039654730364926075,1308437167
29,15.661350867998292,1.5566890045159638,9.295396738347122,6.901524948086133,30.486832522851437,9.805616645197821,12.284568454499462,9.145763875413708,49299,4,0.04102213486026835,1303350521
30,15.707841392547346,1.5225746048842297,9.568759984992466,6.111737580075961,30.53241752880486,9.835693928259554,12.213170836594069,9.237326114192431,40335,4,0.04238953935561063,1308610498
