mean,total,p_0,p_10,p_20,p_30,p_40,p_50,p_60,p_70,p_80,p_90,p_99,p_99.9,p_100,freq%,rate,seed,bits,unique_lba_count
12.704745977650687,3206273,1.0,1.0,2.0,2.0,2.0,3.0,13.0,24.0,27.0,29.0,34.0,426.0,472.0,82,0.3,42,0,6195580
6.99189183967002,2949991,1.0,1.0,1.0,1.0,2.0,3.0,9.0,12.0,13.0,15.0,18.0,213.0,245.0,64,0.3,42,1,3132684
4.302623565537184,2425211,1.0,1.0,1.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,10.0,107.0,130.0,62,0.3,42,2,1601524
2.610837158183634,2091803,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,55.0,67.0,62,0.3,42,3,834639
1.676155482396603,1896935,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,28.0,38.0,45,0.3,42,4,515197
1.2325399669600636,1716105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,15.0,21.0,19,0.3,42,5,355134
1.0675303834155316,1445690,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,12.0,5,0.3,42,6,274276
1.0111544027435038,1289446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,1,0.3,42,7,236825
1.0047120954771864,1152778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1,0.3,42,8,215585
1.0013605125552036,1117226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1,0.3,42,9,207677
1.000207164947691,1081264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,0.3,42,10,200970
1.0,1059635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.3,42,11,200201
