mean,total,p_0,p_10,p_20,p_30,p_40,p_50,p_60,p_70,p_80,p_90,p_99,p_99.9,p_100,freq%,rate,seed,bits,unique_lba_count
14.692774224330783,3332445,1.0,1.0,2.0,2.0,3.0,4.0,14.0,29.0,32.0,34.0,38.0,507.0,556.0,90,0.5,42,0,7469564
7.697268325937716,3241785,1.0,1.0,1.0,1.0,2.0,2.0,8.0,14.0,16.0,17.0,21.0,253.0,285.0,64,0.5,42,1,3822891
4.422764451337802,2943897,1.0,1.0,1.0,1.0,1.0,2.0,5.0,7.0,8.0,9.0,11.0,127.0,149.0,54,0.5,42,2,1999715
2.7860301591122276,2501002,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,64.0,78.0,57,0.5,42,3,1087089
1.7913356902473077,2376554,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,32.0,41.0,48,0.5,42,4,706240
1.2813476814666829,2354592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,17.0,23.0,24,0.5,42,5,516450
