mean,total,p_0,p_10,p_20,p_30,p_40,p_50,p_60,p_70,p_80,p_90,p_99,p_99.9,p_100,freq%,rate,seed,bits,unique_lba_count
3.895637366107268,3432972,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,21.0,323.0,372.0,73,0.8,42,0,2118560
2.2899049788381585,3427868,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,11.0,161.0,199.0,42,0.8,42,1,1201572
1.491309164798561,3317978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,80.0,106.0,16,0.8,42,2,741743
1.2453720064894929,2931508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,40.0,57.0,10,0.8,42,3,513235
1.1073154189994474,2907653,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,20.0,32.0,5,0.8,42,4,428287
1.0486994088572623,2723031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,19.0,3,0.8,42,5,386612
1.016523525839372,2843703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,1,0.8,42,6,365007
1.0071446746347756,2884666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,1,0.8,42,7,355921
1.0028002347146339,2827263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1,0.8,42,8,350225
1.001031476357872,2725220,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1,0.8,42,9,343595
1.0002543022389134,2847006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,0.8,42,10,343849
1.0,2935547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.8,42,11,348336
